Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_014191725.1	ASM1419172v1	Microbulbifer rhizosphaerae		CECT 8799					GCF_014191725.1-RS_2024_05_05	Scaffold	2020-08-14	JACHWZ01	76
GCF_023282985.1	ASM2328298v1	Serratia silvae		Arafor3					GCF_023282985.1-RS_2024_09_24	Scaffold	2022-05-09	JAGQDC01	98
GCF_013868415.1	ASM1386841v1	Marinobacterium marinum		3-1745					GCF_013868415.1-RS_2024_12_09	Scaffold	2020-07-28	JACEMT01	55
GCF_900114205.1	IMG-taxon 2622736507 annotated assembly	Methylophaga sulfidovorans		DSM 11578					GCF_900114205.1-RS_2024_05_03	Scaffold	2016-11-02	FOSH01	31
GCF_011369485.1	ASM1136948v1	Pseudomonas atagonensis		PS14					GCF_011369485.1-RS_2024_05_05	Scaffold	2020-03-16	VXCA01	81
GCF_039540575.1	ASM3954057v1	Pseudaeromonas paramecii		JCM 32226					GCF_039540575.1-RS_2024_05_11	Scaffold	2024-02-23	BAABFC01	36
GCF_014192215.1	ASM1419221v1	Halomonas cerina		CECT 7282					GCF_014192215.1-RS_2024_05_05	Scaffold	2020-08-14	JACHXP01	53
GCF_020148005.1	ASM2014800v1	Modicisalibacter tunisiensis		LIT2					GCF_020148005.1-RS_2024_03_31	Scaffold	2021-09-24	JAGXFD01	8
GCF_003846135.1	ASM384613v1	Erwinia psidii		IBSBF 435					GCF_003846135.1-RS_2024_12_09	Scaffold	2018-11-27	RHHM01	42
GCF_900128925.1	IMG-taxon 2582581268 annotated assembly	Modicisalibacter ilicicola DSM 19980		DSM 19980					GCF_900128925.1-RS_2024_09_08	Scaffold	2016-12-03	FQUJ01	40
GCF_018221465.1	ASM1822146v1	Shewanella intestini		MCCC 1A01895					GCF_018221465.1-RS_2024_05_06	Scaffold	2021-04-30	JAAIKR01	69
GCF_003202165.1	ASM320216v1	Halomonas heilongjiangensis		9-2					GCF_003202165.1-RS_2024_08_20	Scaffold	2018-06-07	PDOH01	60
GCF_042646605.1	ASM4264660v1	Litchfieldella rifensis		CECT 7698					GCF_042646605.1-RS_2024_10_06	Scaffold	2024-10-05	JBHRUG01	52
GCF_900111105.1	IMG-taxon 2651870171 annotated assembly	Rosenbergiella nectarea		8N4					GCF_900111105.1-RS_2024_12_11	Scaffold	2016-10-31	FOGC01	30
GCF_901764995.1	5970_8#10_v2	Actinobacillus porcinus		NM319					GCF_901764995.1-RS_2024_05_04	Scaffold	2019-05-30	CABFKI01	29
GCF_900100175.1	IMG-taxon 2634166324 annotated assembly	Ferrimonas sediminum		DSM 23317					GCF_900100175.1-RS_2024_05_03	Scaffold	2016-10-21	FNEM01	45
GCF_009932555.1	ASM993255v1	Steroidobacter agaridevorans		SA29-B					GCF_009932555.1-RS_2024_12_09	Scaffold	2020-01-09	BLJO01	29
GCF_001484765.1	ASM148476v1	Entomohabitans teleogrylli		SCU-B244					GCF_001484765.1-RS_2024_03_28	Scaffold	2016-01-04	LLXO01	115
GCF_013009345.1	ASM1300934v1	Acinetobacter geminorum		J00019					GCF_013009345.1-RS_2024_12_11	Scaffold	2020-05-11	JABELE01	88
GCF_011189575.1	ASM1118957v1	Photorhabdus cinerea		DSM 19724					GCF_011189575.1-RS_2024_04_11	Scaffold	2020-03-12	PUJW01	171
GCF_030160295.1	ASM3016029v1	Dyella acidisoli		NBRC 111980					GCF_030160295.1-RS_2024_05_12	Scaffold	2023-02-15	BSOB01	64
GCF_002835605.1	ASM283560v1	Pseudomonas pharmacofabricae		ZYSR67-Z					GCF_002835605.1-RS_2024_05_03	Scaffold	2017-12-12	PIYS01	34
GCF_003115855.1	ASM311585v1	Brenneria corticis		CFCC 11842					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-05-11	QDKH01	83
GCF_001399455.2	ASM139945v2	Vibrio bivalvicida		605					GCF_001399455.2-RS_2024_12_11	Scaffold	2016-05-17	LLEI02	91
GCF_009372255.1	ASM937225v1	Acinetobacter guerrae		AC 1271					GCF_009372255.1-RS_2024_04_03	Scaffold	2019-10-28	LXGN01	60
GCF_001939735.1	ASM193973v1	Photobacterium proteolyticum		13-12					GCF_001939735.1-RS_2024_05_03	Scaffold	2017-01-09	MJIL01	101
GCF_003024235.1	ASM302423v1	Arenimonas caeni		z29					GCF_003024235.1-RS_2024_05_05	Scaffold	2018-03-08	PVLF01	42
GCF_900114825.1	IMG-taxon 2663762769 annotated assembly	Halopseudomonas yangmingensis		DSM 24213					GCF_900114825.1-RS_2024_05_03	Scaffold	2016-11-02	FOUI01	47
GCF_022419185.1	ASM2241918v1	Thermomonas flagellata		SYSU G04041					GCF_022419185.1-RS_2024_05_12	Scaffold	2022-02-28	JAJOZK01	15
GCF_039523495.1	ASM3952349v1	Rhodanobacter soli		JCM 16126					GCF_039523495.1-RS_2024_05_10	Scaffold	2024-02-23	BAAAFK01	3
GCF_900113085.1	IMG-taxon 2622736503 annotated assembly	Fontimonas thermophila		DSM 23609					GCF_900113085.1-RS_2024_07_15	Scaffold	2016-11-02	FOOC01	28
GCF_014191985.1	ASM1419198v1	Azomonas macrocytogenes		CECT 4462					GCF_014191985.1-RS_2024_03_28	Scaffold	2020-08-14	JACHXI01	70
GCF_021295315.1	ASM2129531v1	Motilimonas cestriensis		MKS20					GCF_021295315.1-RS_2024_05_13	Scaffold	2021-12-27	JAIMJA01	89
GCF_011189495.1	ASM1118949v1	Photorhabdus stackebrandtii		DSM 23271					GCF_011189495.1-RS_2024_04_11	Scaffold	2020-03-12	PUJV01	224
GCF_003286125.1	ASM328612v1	Algibacillus agarilyticus		RQJ05					GCF_003286125.1-RS_2024_08_05	Scaffold	2018-07-02	QMED01	82
GCF_003350325.1	ASM335032v1	Vibrio rhodolitus		G98					GCF_003350325.1-RS_2024_04_22	Scaffold	2018-07-31	QLYZ01	62
GCF_021295345.1	ASM2129534v1	Motilimonas eburnea		YH6					GCF_021295345.1-RS_2024_06_14	Scaffold	2021-12-27	JAIMJB01	71
GCF_029887875.1	ASM2988787v1	Luteimonas endophytica		RD2P54					GCF_029887875.1-RS_2024_05_12	Scaffold	2023-04-26	JARXRM01	46
GCF_002812985.1	MDC2473	Aeromonas lusitana		MDC 2473					GCF_002812985.1-RS_2024_04_22	Scaffold	2017-11-16	PGCP01	66
GCF_900111555.1	IMG-taxon 2617270929 annotated assembly	Marinobacter segnicrescens		CGMCC 1.6489					GCF_900111555.1-RS_2024_05_03	Scaffold	2016-10-31	FOHZ01	85
GCF_001050375.1	ASM105037v1	Catenovulum maritimum		Q1					GCF_001050375.1-RS_2024_05_02	Scaffold	2015-07-09	LAZL01	47
GCF_022487945.1	ASM2248794v1	Halomonas flagellata		EGI 63088					GCF_022487945.1-RS_2024_08_06	Scaffold	2022-03-05	JAKVPY01	163
GCF_003444685.1	ASM344468v1	Halopseudomonas gallaeciensis		V113					GCF_003444685.1-RS_2024_12_11	Scaffold	2018-09-04	LMAZ01	18
GCF_019084545.1	ASM1908454v1	Marinobacterium ramblicola		D7					GCF_019084545.1-RS_2024_05_06	Scaffold	2021-06-30	JAHREP01	65
GCF_025195085.2	ASM2519508v2	Vibrio intestinalis		YLB-11					GCF_025195085.2-RS_2024_06_17	Scaffold	2023-04-13	JANAVY02	30
GCF_026168575.1	ASM2616857v1	Acinetobacter entericus		BIT-DXN8					GCF_026168575.1-RS_2024_08_02	Scaffold	2022-11-14	JAPEQW01	159
GCF_022601685.1	ASM2260168v1	Acinetobacter sedimenti		A3.8					GCF_022601685.1-RS_2024_12_09	Scaffold	2022-03-16	JAKUML01	27
GCF_017837635.1	ASM1783763v1	Frateuria flava		MAH-13					GCF_017837635.1-RS_2024_05_12	Scaffold	2021-04-07	JAGJRS01	40
GCF_042643485.1	ASM4264348v1	Azotobacter bryophylli		KCTC 62195					GCF_042643485.1-RS_2024_10_06	Scaffold	2024-10-05	JBHRSJ01	36
GCF_004345745.1	ASM434574v1	Nicoletella semolina		DSM 16380					GCF_004345745.1-RS_2024_04_19	Scaffold	2019-03-11	SLXJ01	25
GCF_900100015.1	IMG-taxon 2617270927 annotated assembly	Vibrio xiamenensis		CGMCC 1.10228					GCF_900100015.1-RS_2024_05_03	Scaffold	2016-10-21	FNDD01	82
GCF_014836395.1	ASM1483639v1	Xanthomonas bonasiae		Sa3BUA13					GCF_014836395.1-RS_2024_11_27	Scaffold	2020-09-30	JACSQX01	35
GCF_900104245.1	IMG-taxon 2596583643 annotated assembly	Pseudidiomarina indica		CGMCC 1.10824					GCF_900104245.1-RS_2024_12_09	Scaffold	2016-10-21	FMXN01	31
GCF_001467055.1	ASM146705v1	Legionella adelaidensis		1762-AUS-E					GCF_001467055.1-RS_2024_12_09	Scaffold	2015-12-15	LNKA01	21
GCF_003049725.1	ASM304972v1	Oceanimonas marisflavi		102-Na3					GCF_003049725.1-RS_2024_12_13	Scaffold	2018-04-11	QAGM01	95
GCF_014653435.1	ASM1465343v1	Alishewanella longhuensis		CGMCC 1.7003					GCF_014653435.1-RS_2024_09_02	Scaffold	2020-09-12	BNAO01	32
GCF_039539745.1	ASM3953974v1	Oceanisphaera sediminis		JCM 17329					GCF_039539745.1-RS_2024_05_11	Scaffold	2024-02-23	BAABDS01	58
GCF_900639915.1	Leg_nagasakiensis_JCM_15315.v1	Legionella nagasakiensis		JCM 15315					GCF_900639915.1-RS_2024_04_10	Scaffold	2019-02-04	CAAAID01	54
GCF_014651775.1	ASM1465177v1	Vreelandella hamiltonii		KCTC 22154					GCF_014651775.1-RS_2024_04_07	Scaffold	2020-09-12	BMXN01	70
GCF_020447205.1	ASM2044720v1	Thalassolituus alkanivorans		TMPB967					GCF_020447205.1-RS_2024_12_11	Scaffold	2021-10-13	JAJAEL01	49
GCF_900107695.1	IMG-taxon 2599185268 annotated assembly	Thiothrix caldifontis		DSM 21228					GCF_900107695.1-RS_2024_05_03	Scaffold	2016-10-22	FNQP01	64
GCF_034259425.1	ASM3425942v1	Denitrificimonas halotolerans		JX-1					GCF_034259425.1-RS_2024_12_09	Scaffold	2023-12-10	JAXIVU01	62
GCF_014648335.1	ASM1464833v1	Shewanella litoralis		JCM 32306					GCF_014648335.1-RS_2024_09_02	Scaffold	2020-09-12	BMQX01	101
GCF_010500865.1	ASM1050086v1	Alteromonas profundi		345S023					GCF_010500865.1-RS_2024_05_05	Scaffold	2020-02-12	JAAAWN01	99
GCF_002954455.1	ASM295445v1	Photobacterium aquimaris		LC2-065					GCF_002954455.1-RS_2024_03_29	Scaffold	2018-02-27	MSCC01	10
GCF_016653315.1	ASM1665331v1	Halochromatium roseum		DSM 18859					GCF_016653315.1-RS_2024_03_28	Scaffold	2021-01-16	NHSH01	88
GCF_004116385.1	CAIM600T.1	Veronia nyctiphanis		CAIM 600					GCF_004116385.1-RS_2024_12_11	Scaffold	2019-01-28	PEIB01	127
GCF_030409215.1	ASM3040921v1	Halomonas ramblicola		CECT 7896					GCF_030409215.1-RS_2024_07_07	Scaffold	2023-07-05	JAUFPL01	36
GCF_009711095.1	ASM971109v1	Intestinirhabdus alba		BIT-B35					GCF_009711095.1-RS_2024_12_11	Scaffold	2019-11-26	WMJZ01	174
GCF_900115555.1	IMG-taxon 2671180032 annotated assembly	Pseudomonas borbori		DSM 17834					GCF_900115555.1-RS_2024_04_24	Scaffold	2016-11-02	FOWX01	96
GCF_002015115.1	ASM201511v1	Haemophilus paracuniculus		CCUG 43573					GCF_002015115.1-RS_2024_05_03	Scaffold	2017-03-03	MUYA01	28
GCF_000722635.1	ASM72263v1	Endozoicomonas numazuensis		DSM 25634					GCF_000722635.1-RS_2024_12_11	Scaffold	2014-07-07	JOKH01	31
GCF_014837015.1	ASM1483701v1	Acinetobacter pecorum		Sa1BUA6					GCF_014837015.1-RS_2024_11_18	Scaffold	2020-09-30	JACSPT01	51
GCF_900109725.1	IMG-taxon 2617270880 annotated assembly	Halomonas daqiaonensis		CGMCC 1.9150					GCF_900109725.1-RS_2024_04_24	Scaffold	2016-10-31	FOBC01	46
GCF_002879615.1	ASM287961v1	Billgrantia endophytica		MC28					GCF_002879615.1-RS_2024_03_28	Scaffold	2018-01-13	PNRF01	50
GCF_014202935.1	ASM1420293v1	Rehaibacterium terrae		DSM 25897					GCF_014202935.1-RS_2024_05_05	Scaffold	2020-08-14	JACHHX01	34
GCF_020858655.1	ASM2085865v1	Serratia montpellierensis		PsyLou2A					GCF_020858655.1-RS_2024_05_26	Scaffold	2021-11-12	VOSN01	25
GCF_018145875.1	ASM1814587v1	Marinomonas vulgaris		A79					GCF_018145875.1-RS_2024_12_11	Scaffold	2021-04-26	JAGSSV01	56
GCF_011355085.1	ASM1135508v1	Pseudomonas akapageensis		PS24					GCF_011355085.1-RS_2024_05_05	Scaffold	2020-03-16	VXCP01	89
GCF_900167255.1	IMG-taxon 2585428147 annotated assembly	Thiothrix eikelboomii		ATCC 49788					GCF_900167255.1-RS_2024_12_09	Scaffold	2017-03-04	FUYB01	50
GCF_016306625.1	ASM1630662v1	Xenorhabdus lircayensis		VLS					GCF_016306625.1-RS_2024_12_13	Scaffold	2020-12-22	JACOII01	103
GCF_030160855.1	ASM3016085v1	Marinibactrum halimedae		NBRC 110095					GCF_030160855.1-RS_2024_06_02	Scaffold	2023-02-15	BSPD01	128
GCF_018448965.1	ASM1844896v1	Photorhabdus hainanensis		DSM 22397					GCF_018448965.1-RS_2024_05_06	Scaffold	2021-05-23	RCWD01	167
GCF_008033445.1	ASM803344v1	Vulcaniibacterium gelatinicum		R-5-52-3					GCF_008033445.1-RS_2024_05_04	Scaffold	2019-08-20	VNKO01	47
GCF_900094945.1	IMG-taxon 2617270739 annotated assembly	Gilliamella bombicola		R-53248					GCF_900094945.1-RS_2024_04_29	Scaffold	2016-08-04	FMAQ01	29
GCF_000621325.1	ASM62132v1	Thiothrix lacustris DSM 21227		DSM 21227					GCF_000621325.1-RS_2024_05_02	Scaffold	2014-04-08	JHYQ01	50
GCF_001467025.1	ASM146702v1	Legionella brunensis		ATCC 43878					GCF_001467025.1-RS_2024_03_27	Scaffold	2015-12-15	LNXV01	37
GCF_017114825.1	ASM1711482v1	Pseudomonas gregormendelii		LMG 28632					GCF_017114825.1-RS_2024_06_17	Scaffold	2021-03-01	JADEVO01	111
GCF_000620045.1	ASM62004v1	Halomonas halodenitrificans DSM 735		DSM 735					GCF_000620045.1-RS_2024_05_02	Scaffold	2014-04-08	JHVH01	52
GCF_002934685.1	ASM293468v1	Pseudomonas bohemica		IA19					GCF_002934685.1-RS_2024_12_09	Scaffold	2018-02-21	NKHL01	121
GCF_022602565.1	ASM2260256v1	Rosenbergiella metrosideri		JB07					GCF_022602565.1-RS_2024_04_03	Scaffold	2022-03-16	JALBCV01	164
GCF_018448885.1	ASM1844888v1	Photorhabdus caribbeanensis		HG29					GCF_018448885.1-RS_2024_05_06	Scaffold	2021-05-23	RCWB01	181
GCF_042676125.1	ASM4267612v1	Oceanisphaera ostreae		CCUG 60525					GCF_042676125.1-RS_2024_10_07	Scaffold	2024-10-06	JBHTJS01	73
GCF_014652715.1	ASM1465271v1	Salinicola rhizosphaerae		KCTC 32998					GCF_014652715.1-RS_2024_09_02	Scaffold	2020-09-12	BMZI01	25
GCF_016907015.1	ASM1690701v1	Oceanisphaera litoralis		DSM 15406					GCF_016907015.1-RS_2024_03_28	Scaffold	2021-02-19	JAFBBE01	63
GCF_003731635.1	ASM373163v1	Alteromonas oceani		S35					GCF_003731635.1-RS_2024_03_31	Scaffold	2018-11-15	RCUA01	90
GCF_026183675.1	ASM2618367v1	Microbulbifer halophilus		KCTC 12848					GCF_026183675.1-RS_2024_12_09	Scaffold	2022-11-15	JAPIVK01	109
GCF_900115085.1	IMG-taxon 2667527410 annotated assembly	Dokdonella immobilis		CGMCC 1.7659					GCF_900115085.1-RS_2024_05_03	Scaffold	2016-11-02	FOVF01	78
GCF_002014825.1	ASM201482v1	Moraxella pluranimalium		CCUG 54913					GCF_002014825.1-RS_2024_12_09	Scaffold	2017-03-03	MUYU01	50
GCF_014164585.1	ASM1416458v1	Oceanospirillum sediminis		D5					GCF_014164585.1-RS_2024_08_15	Scaffold	2020-08-11	JACJFM01	397
GCF_017498085.1	ASM1749808v1	Psychrobacter coccoides		F1192					GCF_017498085.1-RS_2024_04_16	Scaffold	2021-03-20	JAGBKM01	85
GCF_023156245.1	ASM2315624v1	Marinobacter bryozoorum		DSM 15401					GCF_023156245.1-RS_2024_05_13	Scaffold	2022-04-27	JAKZAH01	126
GCF_014192055.1	ASM1419205v1	Halomonas organivorans		CECT 5995					GCF_014192055.1-RS_2024_05_05	Scaffold	2020-08-14	JACHXM01	72
GCF_002158995.1	ASM215899v1	Pseudomonas caspiana		FBF102					GCF_002158995.1-RS_2024_03_27	Scaffold	2017-05-30	LOHF01	49
GCF_016924145.1	ASM1692414v1	Amphritea pacifica		ZJ14W					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-02-23	JAFFZO01	282
GCF_039523275.1	ASM3952327v1	Psychrobacter piscatorii		JCM 15603					GCF_039523275.1-RS_2024_05_10	Scaffold	2024-02-23	BAAAEZ01	100
GCF_014836545.1	ASM1483654v1	Stenotrophomonas lacuserhaii		Sa5BUN4					GCF_014836545.1-RS_2024_11_27	Scaffold	2020-09-30	JACSQS01	36
GCF_039537065.1	ASM3953706v1	Luteimonas lutimaris		JCM 16916					GCF_039537065.1-RS_2024_05_10	Scaffold	2024-02-23	BAAAZU01	43
GCF_016583905.1	ASM1658390v1	Lamprobacter modestohalophilus		DSM 25653					GCF_016583905.1-RS_2024_03_28	Scaffold	2021-01-08	NRRY01	209
GCF_042432445.1	ASM4243244v1	Thorsellia kenyensis		CCM 8545					GCF_042432445.1-RS_2024_09_29	Scaffold	2024-09-28	JBHLXE01	129
GCF_900110965.1	IMG-taxon 2675903141 annotated assembly	Ectothiorhodospira magna		B7-7					GCF_900110965.1-RS_2024_03_27	Scaffold	2016-10-31	FOFO01	58
GCF_013425525.1	ASM1342552v1	Luteimonas salinisoli		SJ-92					GCF_013425525.1-RS_2024_05_12	Scaffold	2020-07-19	JACCKA01	95
GCF_904061905.1	CIP111764	Pseudomonas carbonaria		CIP 111764					GCF_904061905.1-RS_2024_12_11	Scaffold	2020-09-02	CAJFCI01	143
GCF_001467615.1	ASM146761v1	Legionella erythra		SE-32A-C8					GCF_001467615.1-RS_2024_03_21	Scaffold	2015-12-15	LNYA01	36
GCF_020387775.1	ASM2038777v1	Photorhabdus antumapuensis		UCH-936					GCF_020387775.1-RS_2024_11_06	Scaffold	2021-10-08	JAHZMK01	106
GCF_022790535.1	ASM2279053v1	Pseudomonas maioricensis		S25					GCF_022790535.1-RS_2024_04_07	Scaffold	2022-04-01	LOHG01	41
GCF_003206715.1	ASM320671v1	Salinicola peritrichatus		JCM 18795					GCF_003206715.1-RS_2024_03_28	Scaffold	2018-06-11	PZJU01	109
GCF_014648295.1	ASM1464829v1	Shewanella saliphila		JCM 32304					GCF_014648295.1-RS_2024_09_02	Scaffold	2020-09-12	BMQV01	126
GCF_007923255.1	ASM792325v1	Vulcaniibacterium thermophilum		KCTC 32020					GCF_007923255.1-RS_2024_05_06	Scaffold	2019-08-09	VOHJ01	80
GCF_019795155.1	ASM1979515v1	Marinobacterium arenosum		CAU 1594					GCF_019795155.1-RS_2024_10_11	Scaffold	2021-08-29	JAILYN01	115
GCF_001400735.1	PcaICMP2855	Pseudomonas caricapapayae		ICMP 2855					GCF_001400735.1-RS_2024_12_11	Scaffold	2015-10-20	LJPW01	193
GCF_003350455.1	ASM335045v1	Aquicella lusitana		DSM 16500					GCF_003350455.1-RS_2024_12_09	Scaffold	2018-07-31	QQAX01	66
GCF_016632365.1	ASM1663236v1	Tenebrionibacter intestinalis		BIT-L3					GCF_016632365.1-RS_2024_11_06	Scaffold	2021-01-13	JAEPBH01	211
GCF_900640125.1	Leg_fairfieldensis_1725-Aus-E.v1	Legionella fairfieldensis		1725-Aus-E					GCF_900640125.1-RS_2024_04_10	Scaffold	2019-02-04	CAAAIZ01	76
GCF_014841215.1	ASM1484121v1	Pseudomarimonas arenosa		CAU 1598					GCF_014841215.1-RS_2024_05_06	Scaffold	2020-10-04	JACYTR01	144
GCF_001684335.1	ASM168433v1	Photorhabdus namnaonensis		PB45.5					GCF_001684335.1-RS_2024_03_28	Scaffold	2016-07-13	LOIC01	105
GCF_001565895.1	ASM156589v1	Paraglaciecola hydrolytica		S66					GCF_001565895.1-RS_2024_12_09	Scaffold	2016-02-22	LSNE01	20
GCF_900089835.1	VthalassaeCECT8203_Velvet_Prokka	Vibrio thalassae		CECT8203					GCF_900089835.1-RS_2024_08_20	Scaffold	2017-09-28	OANU01	193
GCF_003172875.1	ASM317287v1	Leucothrix pacifica		JCM 18388					GCF_003172875.1-RS_2024_05_04	Scaffold	2018-05-26	QGKM01	146
GCF_014836505.1	ASM1483650v1	Psychrobacter communis		Sa4CVA2					GCF_014836505.1-RS_2024_11_18	Scaffold	2020-09-30	JACSQR01	91
GCF_030161235.1	ASM3016123v1	Vibrio zhanjiangensis		NBRC 108723					GCF_030161235.1-RS_2024_06_02	Scaffold	2023-02-15	BSPW01	124
GCF_008710035.1	ASM871003v1	Stenotrophomonas cyclobalanopsidis		TPQG1-4					GCF_008710035.1-RS_2024_05_04	Scaffold	2019-09-26	VYKI01	53
GCF_000372805.1	ASM37280v1	Marinobacter gelidimuriae		BF04_CF-4					GCF_000372805.1-RS_2024_12_09	Scaffold	2013-04-23	ARCR01	136
GCF_031935715.1	ASM3193571v1	Halomonas garicola		KACC 18117					GCF_031935715.1-RS_2024_09_27	Scaffold	2023-09-25	JASSZF01	73
GCF_002093625.1	ASM209362v1	Rouxiella silvae		213					GCF_002093625.1-RS_2024_12_09	Scaffold	2017-04-14	MRWD01	128
GCF_004011885.1	ASM401188v1	Serratia microhaemolytica		ZS-11					GCF_004011885.1-RS_2024_03_28	Scaffold	2019-01-11	SBEF01	134
GCF_041447265.1	ASM4144726v1	Microbulbifer epialgicus		DSM 18651					GCF_041447265.1-RS_2024_08_25	Scaffold	2024-08-24	JBGMEK01	297
GCF_001468135.1	ASM146813v1	Legionella santicrucis		SC-63-C7					GCF_001468135.1-RS_2024_03_21	Scaffold	2015-12-15	LNYU01	92
GCF_024357955.1	ASM2435795v1	Photobacterium pectinilyticum		ZSDE20					GCF_024357955.1-RS_2024_09_08	Scaffold	2022-07-20	JANEYT01	200
GCF_016653295.1	ASM1665329v1	Halochromatium salexigens		DSM 4395					GCF_016653295.1-RS_2024_03_29	Scaffold	2021-01-16	NHSF01	100
GCF_042433085.1	ASM4243308v1	Gallibacterium melopsittaci		CCM 7538					GCF_042433085.1-RS_2024_09_29	Scaffold	2024-09-28	JBHLWA01	56
GCF_002993365.1	ASM299336v1	Alteromonas alba		190					GCF_002993365.1-RS_2024_03_28	Scaffold	2018-03-11	PVNP01	221
GCF_020320395.1	ASM2032039v1	Thalassolituus marinus		IMCC1826					GCF_020320395.1-RS_2024_11_18	Scaffold	2021-10-06	JAEDAH01	106
GCF_001995255.1	Tv_HL17_v1	Thioalkalivibrio halophilus		HL17					GCF_001995255.1-RS_2024_04_22	Scaffold	2017-02-12	MUZR01	97
GCF_900107145.1	IMG-taxon 2675903030 annotated assembly	Allochromatium warmingii		DSM 173					GCF_900107145.1-RS_2024_05_03	Scaffold	2016-10-22	FNOW01	94
GCF_002087235.1	ASM208723v1	Pseudomonas floridensis		GEV388					GCF_002087235.1-RS_2024_04_22	Scaffold	2017-04-12	MUIO01	287
GCF_003052605.1	ASM305260v1	Pseudomonas indoloxydans		JCM 14246					GCF_003052605.1-RS_2024_04_22	Scaffold	2018-04-17	QASO01	143
GCF_003336665.1	ASM333666v1	Vreelandella rituensis		TQ8S					GCF_003336665.1-RS_2024_04_07	Scaffold	2018-07-24	QPIJ01	178
GCF_003675895.1	ASM367589v1	Parashewanella curva		C51					GCF_003675895.1-RS_2024_04_17	Scaffold	2018-10-23	QZEI01	230
GCF_003574425.1	ASM357442v1	Cysteiniphilum halobium		SYSU SYW-6					GCF_003574425.1-RS_2024_12_11	Scaffold	2018-09-18	QLIU01	150
GCF_015070855.1	ASM1507085v1	Pseudomonas lopnurensis		AL-54					GCF_015070855.1-RS_2024_12_11	Scaffold	2020-10-28	JADDIX01	100
GCF_035668035.1	ASM3566803v1	Candidatus Thiothrix phosphatis					SCUT-1		GCF_035668035.1-RS_2024_09_22	Scaffold	2024-01-16	JAYMYJ01	165
GCF_900129205.1	IMG-taxon 2582581272 annotated assembly	Thermomonas hydrothermalis		DSM 14834					GCF_900129205.1-RS_2024_05_03	Scaffold	2016-12-03	FQUK01	85
GCF_039523315.1	ASM3952331v1	Marinomonas arenicola		JCM 15737					GCF_039523315.1-RS_2024_05_10	Scaffold	2024-02-23	BAAAFB01	12
GCF_016653465.1	ASM1665346v1	Thiocystis minor		DSM 178					GCF_016653465.1-RS_2024_03_29	Scaffold	2021-01-16	NHSQ01	198
GCF_000321045.1	ASM32104v2	Phytobacter massiliensis JC163		type strain: JC163					GCF_000321045.1-RS_2024_06_10	Scaffold	2012-12-06	CAEO01	77
GCF_900115655.1	IMG-taxon 2595698241 annotated assembly	Ruminobacter amylophilus		DSM 1361					GCF_900115655.1-RS_2024_05_03	Scaffold	2016-11-02	FOXF01	117
GCF_900094935.1	IMG-taxon 2617270738 annotated assembly	Gilliamella intestini		R-53144					GCF_900094935.1-RS_2024_08_07	Scaffold	2016-08-04	FMBA01	113
GCF_000953855.2	ASM95385v3	Mizugakiibacter sediminis		skMP5					GCF_000953855.2-RS_2024_05_06	Scaffold	2015-08-06	BBUM02	149
GCF_001646945.1	AVMART05_1.0	Endozoicomonas ascidiicola		AVMART05					GCF_001646945.1-RS_2024_07_16	Scaffold	2016-05-18	LUTV01	36
GCF_000816495.1	ASM81649v1	Acinetobacter harbinensis		HITLi 7					GCF_000816495.1-RS_2024_11_26	Scaffold	2015-01-08	JXBK01	6
GCF_002000365.1	ASM200036v1	Thioalkalivibrio denitrificans		ALJD					GCF_002000365.1-RS_2024_05_03	Scaffold	2017-02-15	MVBK01	167
GCF_016900895.1	ASM1690089v1	Parashewanella hymeniacidonis		202IG2-18					GCF_016900895.1-RS_2024_03_28	Scaffold	2021-02-16	JAFEUN01	307
GCF_009711465.1	ASM971146v1	Sansalvadorimonas verongulae		RKSG058					GCF_009711465.1-RS_2024_12_11	Scaffold	2019-11-27	SMME01	873
GCF_002940065.1	ASM294006v1	Xanthomonas populi		CFBP1817					GCF_002940065.1-RS_2024_05_05	Scaffold	2018-02-23	MDEJ01	407
GCF_001647025.1	EnAtr_2.0	Endozoicomonas atrinae		WP70					GCF_001647025.1-RS_2024_03_27	Scaffold	2016-08-14	LUKQ02	980
GCF_001400515.1	PmlICMP6289	Pseudomonas meliae		ICMP 6289					GCF_001400515.1-RS_2024_12_11	Scaffold	2015-10-20	LJQT01	504
GCF_003574485.1	ASM357448v1	Facilibium subflavum		SYSU SYW-5					GCF_003574485.1-RS_2024_12_11	Scaffold	2018-09-18	QLIT01	378
GCF_002921145.1	ASM292114v1	Avibacterium endocarditidis		20186H4H1					GCF_002921145.1-RS_2024_05_03	Scaffold	2018-02-07	PQVI01	161
GCF_009873615.1	ASM987361v1	Photobacterium lucens		CAIM 1937					GCF_009873615.1-RS_2024_10_16	Scaffold	2020-01-14	SSMG01	494
